Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"Canyon County, Idaho",217633,22232,28722,0.13,Canyon County,Idaho
"Caribou County, Idaho",6953,26221,602,0.09,Caribou County,Idaho
"Cassia County, Idaho",23690,21687,3334,0.14,Cassia County,Idaho
"Clark County, Idaho",913,18860,121,0.13,Clark County,Idaho
"Clearwater County, Idaho",8673,23412,989,0.11,Clearwater County,Idaho
"Custer County, Idaho",4169,23805,760,0.18,Custer County,Idaho
"Elmore County, Idaho",26743,23028,3959,0.15,Elmore County,Idaho
"Franklin County, Idaho",13464,24185,1394,0.1,Franklin County,Idaho
"Fremont County, Idaho",13020,23577,1613,0.12,Fremont County,Idaho
"Gem County, Idaho",17331,22661,2916,0.17,Gem County,Idaho
"Gooding County, Idaho",15148,23607,2443,0.16,Gooding County,Idaho
"Idaho County, Idaho",16411,22672,2268,0.14,Idaho County,Idaho
"Jefferson County, Idaho",28534,24677,1953,0.07,Jefferson County,Idaho
"Jerome County, Idaho",23730,21461,4478,0.19,Jerome County,Idaho
"Kootenai County, Idaho",157322,29948,18244,0.12,Kootenai County,Idaho
"Latah County, Idaho",39505,27011,6571,0.17,Latah County,Idaho
"Lemhi County, Idaho",7847,25075,938,0.12,Lemhi County,Idaho
"Lewis County, Idaho",3838,24094,614,0.16,Lewis County,Idaho
"Lincoln County, Idaho",5350,21656,641,0.12,Lincoln County,Idaho
"Madison County, Idaho",39100,16585,11937,0.31,Madison County,Idaho
"Minidoka County, Idaho",20705,24262,3428,0.17,Minidoka County,Idaho
"Nez Perce County, Idaho",40217,29544,5215,0.13,Nez Perce County,Idaho
"Oneida County, Idaho",4385,22120,495,0.11,Oneida County,Idaho
"Owyhee County, Idaho",11552,22806,1832,0.16,Owyhee County,Idaho
"Payette County, Idaho",23260,25768,3062,0.13,Payette County,Idaho
"Power County, Idaho",7671,23343,871,0.11,Power County,Idaho
"Shoshone County, Idaho",12609,23987,2398,0.19,Shoshone County,Idaho
"Teton County, Idaho",11426,31191,512,0.04,Teton County,Idaho
"Twin Falls County, Idaho",84869,25352,11975,0.14,Twin Falls County,Idaho
"Valley County, Idaho",10709,33709,764,0.07,Valley County,Idaho
"Washington County, Idaho",10057,22650,1328,0.13,Washington County,Idaho
"Adams County, Illinois",66085,30343,8031,0.12,Adams County,Illinois
"Alexander County, Illinois",6260,19519,1553,0.25,Alexander County,Illinois
"Bond County, Illinois",16589,28119,2098,0.13,Bond County,Illinois
"Boone County, Illinois",53537,31943,5341,0.1,Boone County,Illinois
"Brown County, Illinois",6628,23070,549,0.08,Brown County,Illinois
"Bureau County, Illinois",33122,30255,4040,0.12,Bureau County,Illinois
"Calhoun County, Illinois",4830,28822,548,0.11,Calhoun County,Illinois
"Carroll County, Illinois",14466,29166,1511,0.1,Carroll County,Illinois
"Cass County, Illinois",12493,26992,1822,0.15,Cass County,Illinois
"Champaign County, Illinois",209922,30578,38859,0.19,Champaign County,Illinois
"Christian County, Illinois",32931,27361,3831,0.12,Christian County,Illinois
"Clark County, Illinois",15716,30796,1718,0.11,Clark County,Illinois
"Clay County, Illinois",13287,26815,2153,0.16,Clay County,Illinois
"Clinton County, Illinois",37634,31783,2733,0.07,Clinton County,Illinois
"Coles County, Illinois",51353,28084,9932,0.19,Coles County,Illinois
"Cook County, Illinois",5198275,37552,734470,0.14,Cook County,Illinois
