Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"Buffalo County, Nebraska",49209,31043,6318,0.13,Buffalo County,Nebraska
"Burt County, Nebraska",6510,31635,788,0.12,Burt County,Nebraska
"Butler County, Nebraska",8029,30095,563,0.07,Butler County,Nebraska
"Cass County, Nebraska",25888,33851,1723,0.07,Cass County,Nebraska
"Cedar County, Nebraska",8498,30163,595,0.07,Cedar County,Nebraska
"Chase County, Nebraska",3783,30080,359,0.09,Chase County,Nebraska
"Cherry County, Nebraska",5779,29415,446,0.08,Cherry County,Nebraska
"Cheyenne County, Nebraska",9604,31294,906,0.09,Cheyenne County,Nebraska
"Clay County, Nebraska",6203,27539,641,0.1,Clay County,Nebraska
"Colfax County, Nebraska",10714,23603,1291,0.12,Colfax County,Nebraska
"Cuming County, Nebraska",8952,29765,606,0.07,Cuming County,Nebraska
"Custer County, Nebraska",10826,33561,1222,0.11,Custer County,Nebraska
"Dakota County, Nebraska",20173,25269,3227,0.16,Dakota County,Nebraska
"Dawes County, Nebraska",8810,25383,1144,0.13,Dawes County,Nebraska
"Dawson County, Nebraska",23733,25956,2960,0.12,Dawson County,Nebraska
"Deuel County, Nebraska",1831,26351,159,0.09,Deuel County,Nebraska
"Dixon County, Nebraska",5719,27634,533,0.09,Dixon County,Nebraska
"Dodge County, Nebraska",36665,28019,4452,0.12,Dodge County,Nebraska
"Douglas County, Nebraska",560617,35307,65887,0.12,Douglas County,Nebraska
"Dundy County, Nebraska",1913,25479,198,0.1,Dundy County,Nebraska
"Fillmore County, Nebraska",5547,34483,469,0.08,Fillmore County,Nebraska
"Franklin County, Nebraska",2987,28365,424,0.14,Franklin County,Nebraska
"Frontier County, Nebraska",2640,28899,226,0.09,Frontier County,Nebraska
"Furnas County, Nebraska",4747,27021,512,0.11,Furnas County,Nebraska
"Gage County, Nebraska",21594,29565,2251,0.1,Gage County,Nebraska
"Garden County, Nebraska",1864,35050,141,0.08,Garden County,Nebraska
"Garfield County, Nebraska",2001,29146,178,0.09,Garfield County,Nebraska
"Gosper County, Nebraska",2013,37565,107,0.05,Gosper County,Nebraska
"Grant County, Nebraska",722,23264,109,0.15,Grant County,Nebraska
"Greeley County, Nebraska",2382,26553,239,0.1,Greeley County,Nebraska
"Hall County, Nebraska",61265,28359,7078,0.12,Hall County,Nebraska
"Hamilton County, Nebraska",9215,32131,468,0.05,Hamilton County,Nebraska
"Harlan County, Nebraska",3415,28919,354,0.1,Harlan County,Nebraska
"Hayes County, Nebraska",893,31286,99,0.11,Hayes County,Nebraska
"Hitchcock County, Nebraska",2815,30037,311,0.11,Hitchcock County,Nebraska
"Holt County, Nebraska",10177,31785,783,0.08,Holt County,Nebraska
"Hooker County, Nebraska",693,27714,101,0.15,Hooker County,Nebraska
"Howard County, Nebraska",6417,27489,505,0.08,Howard County,Nebraska
"Jefferson County, Nebraska",7144,27461,790,0.11,Jefferson County,Nebraska
"Johnson County, Nebraska",5161,24072,351,0.07,Johnson County,Nebraska
"Kearney County, Nebraska",6529,31094,637,0.1,Kearney County,Nebraska
"Keith County, Nebraska",8068,29823,993,0.12,Keith County,Nebraska
"Keya Paha County, Nebraska",760,28853,57,0.07,Keya Paha County,Nebraska
"Kimball County, Nebraska",3633,27478,388,0.11,Kimball County,Nebraska
"Knox County, Nebraska",8426,28409,763,0.09,Knox County,Nebraska
"Lancaster County, Nebraska",313158,32378,37502,0.12,Lancaster County,Nebraska
"Lincoln County, Nebraska",35263,31567,3397,0.1,Lincoln County,Nebraska
"Logan County, Nebraska",927,24355,104,0.11,Logan County,Nebraska
"Loup County, Nebraska",605,27726,52,0.09,Loup County,Nebraska
"McPherson County, Nebraska",395,30063,68,0.17,McPherson County,Nebraska
"Madison County, Nebraska",35080,28179,5069,0.14,Madison County,Nebraska
"Merrick County, Nebraska",7798,28795,915,0.12,Merrick County,Nebraska
"Morrill County, Nebraska",4781,26951,404,0.08,Morrill County,Nebraska
"Nance County, Nebraska",3544,29454,392,0.11,Nance County,Nebraska
"Nemaha County, Nebraska",6973,29574,746,0.11,Nemaha County,Nebraska
"Nuckolls County, Nebraska",4244,30078,467,0.11,Nuckolls County,Nebraska
"Otoe County, Nebraska",15949,31450,1720,0.11,Otoe County,Nebraska
"Pawnee County, Nebraska",2649,27162,492,0.19,Pawnee County,Nebraska
"Perkins County, Nebraska",2901,35765,144,0.05,Perkins County,Nebraska
"Phelps County, Nebraska",9100,32864,841,0.09,Phelps County,Nebraska
"Pierce County, Nebraska",7144,32040,555,0.08,Pierce County,Nebraska
"Platte County, Nebraska",33174,30331,2836,0.09,Platte County,Nebraska
"Polk County, Nebraska",5225,30234,393,0.08,Polk County,Nebraska
"Red Willow County, Nebraska",10768,27392,1215,0.11,Red Willow County,Nebraska
"Richardson County, Nebraska",7961,28309,954,0.12,Richardson County,Nebraska
"Rock County, Nebraska",1414,36140,71,0.05,Rock County,Nebraska
"Saline County, Nebraska",14270,24627,2030,0.14,Saline County,Nebraska
"Sarpy County, Nebraska",181232,36058,10654,0.06,Sarpy County,Nebraska
"Saunders County, Nebraska",21165,33851,1700,0.08,Saunders County,Nebraska
"Scotts Bluff County, Nebraska",36074,27978,4769,0.13,Scotts Bluff County,Nebraska
"Seward County, Nebraska",17171,32040,1019,0.06,Seward County,Nebraska
"Sheridan County, Nebraska",5231,29477,886,0.17,Sheridan County,Nebraska
"Sherman County, Nebraska",3033,28448,368,0.12,Sherman County,Nebraska
"Sioux County, Nebraska",1219,28646,104,0.09,Sioux County,Nebraska
"Stanton County, Nebraska",5957,29117,366,0.06,Stanton County,Nebraska
"Thayer County, Nebraska",5057,29632,474,0.09,Thayer County,Nebraska
"Thomas County, Nebraska",645,36572,54,0.08,Thomas County,Nebraska
"Thurston County, Nebraska",7181,20141,1813,0.25,Thurston County,Nebraska
"Valley County, Nebraska",4206,29378,388,0.09,Valley County,Nebraska
"Washington County, Nebraska",20361,35145,1587,0.08,Washington County,Nebraska
"Wayne County, Nebraska",9332,27671,983,0.11,Wayne County,Nebraska
"Webster County, Nebraska",3537,29969,371,0.1,Webster County,Nebraska
"Wheeler County, Nebraska",783,29037,103,0.13,Wheeler County,Nebraska
"York County, Nebraska",13745,32975,1243,0.09,York County,Nebraska
"Churchill County, Nevada",24259,28462,3119,0.13,Churchill County,Nevada
"Clark County, Nevada",2182004,30704,295030,0.14,Clark County,Nevada
"Douglas County, Nevada",48132,38814,4170,0.09,Douglas County,Nevada
"Elko County, Nevada",52297,33875,6026,0.12,Elko County,Nevada
"Esmeralda County, Nevada",969,25849,86,0.09,Esmeralda County,Nevada
"Eureka County, Nevada",1859,34249,148,0.08,Eureka County,Nevada
"Humboldt County, Nevada",16828,33362,2208,0.13,Humboldt County,Nevada
"Lander County, Nevada",5643,34000,543,0.1,Lander County,Nevada
"Lincoln County, Nevada",5180,26432,253,0.05,Lincoln County,Nevada
"Lyon County, Nevada",54380,27855,6293,0.12,Lyon County,Nevada
"Mineral County, Nevada",4460,22921,871,0.2,Mineral County,Nevada
"Nye County, Nevada",44380,25558,7157,0.16,Nye County,Nevada
"Pershing County, Nevada",6615,19891,567,0.09,Pershing County,Nevada
"Storey County, Nevada",3988,37941,324,0.08,Storey County,Nevada
"Washoe County, Nevada",456936,36071,50827,0.11,Washoe County,Nevada
"White Pine County, Nevada",9679,25675,1108,0.11,White Pine County,Nevada
"Carson City, Nevada",54773,31549,5960,0.11,Carson City,Nevada
"Belknap County, New Hampshire",60887,37430,5186,0.09,Belknap County,New Hampshire
"Carroll County, New Hampshire",48138,37490,4272,0.09,Carroll County,New Hampshire
"Cheshire County, New Hampshire",76042,33946,6409,0.08,Cheshire County,New Hampshire
"Coos County, New Hampshire",31741,27393,3675,0.12,Coos County,New Hampshire
"Grafton County, New Hampshire",89777,37750,7968,0.09,Grafton County,New Hampshire
"Hillsborough County, New Hampshire",413035,40955,31468,0.08,Hillsborough County,New Hampshire
"Merrimack County, New Hampshire",149917,37367,9348,0.06,Merrimack County,New Hampshire
"Rockingham County, New Hampshire",306359,47222,14096,0.05,Rockingham County,New Hampshire
"Strafford County, New Hampshire",129124,35601,11321,0.09,Strafford County,New Hampshire
"Sullivan County, New Hampshire",43104,33042,4939,0.11,Sullivan County,New Hampshire
"Atlantic County, New Jersey",266105,33284,34691,0.13,Atlantic County,New Jersey
"Bergen County, New Jersey",930390,51214,61205,0.07,Bergen County,New Jersey
"Burlington County, New Jersey",445702,43187,26671,0.06,Burlington County,New Jersey
"Camden County, New Jersey",506738,35958,61187,0.12,Camden County,New Jersey
"Cape May County, New Jersey",93086,40389,8878,0.1,Cape May County,New Jersey
"Cumberland County, New Jersey",151906,25694,23051,0.15,Cumberland County,New Jersey
"Essex County, New Jersey",795404,38722,122569,0.15,Essex County,New Jersey
"Gloucester County, New Jersey",291165,39337,21340,0.07,Gloucester County,New Jersey
"Hudson County, New Jersey",670046,40740,100869,0.15,Hudson County,New Jersey
"Hunterdon County, New Jersey",124823,57098,5474,0.04,Hunterdon County,New Jersey
"Mercer County, New Jersey",367922,43086,40980,0.11,Mercer County,New Jersey
"Middlesex County, New Jersey",825920,39599,67683,0.08,Middlesex County,New Jersey
"Monmouth County, New Jersey",621659,51700,42734,0.07,Monmouth County,New Jersey
"Morris County, New Jersey",493379,58109,23212,0.05,Morris County,New Jersey
"Ocean County, New Jersey",596415,36100,59463,0.1,Ocean County,New Jersey
"Passaic County, New Jersey",503637,32064,77841,0.15,Passaic County,New Jersey
"Salem County, New Jersey",62990,34047,7651,0.12,Salem County,New Jersey
"Somerset County, New Jersey",329838,55828,16762,0.05,Somerset County,New Jersey
"Sussex County, New Jersey",141483,44728,6920,0.05,Sussex County,New Jersey
"Union County, New Jersey",554033,41603,52015,0.09,Union County,New Jersey
"Warren County, New Jersey",105862,39802,7885,0.07,Warren County,New Jersey
"Bernalillo County, New Mexico",677858,30734,111693,0.16,Bernalillo County,New Mexico
"Catron County, New Mexico",3526,21989,571,0.16,Catron County,New Mexico
"Chaves County, New Mexico",65144,22041,12280,0.19,Chaves County,New Mexico
"Cibola County, New Mexico",26891,20018,6660,0.25,Cibola County,New Mexico
"Colfax County, New Mexico",12168,24035,2316,0.19,Colfax County,New Mexico
"Curry County, New Mexico",49732,23021,10186,0.2,Curry County,New Mexico
"De Baca County, New Mexico",2040,17376,323,0.16,De Baca County,New Mexico
"Doña Ana County, New Mexico",216069,22154,55581,0.26,Doña Ana County,New Mexico
"Eddy County, New Mexico",57732,30246,8323,0.14,Eddy County,New Mexico
"Grant County, New Mexico",27669,25590,6460,0.23,Grant County,New Mexico
"Guadalupe County, New Mexico",4353,17420,561,0.13,Guadalupe County,New Mexico
"Harding County, New Mexico",441,34721,63,0.14,Harding County,New Mexico
"Hidalgo County, New Mexico",4297,22009,1079,0.25,Hidalgo County,New Mexico
"Lea County, New Mexico",70277,25585,10698,0.15,Lea County,New Mexico
"Lincoln County, New Mexico",19461,27454,2026,0.1,Lincoln County,New Mexico
"Los Alamos County, New Mexico",18625,60746,809,0.04,Los Alamos County,New Mexico
"Luna County, New Mexico",24083,17168,6553,0.27,Luna County,New Mexico
"McKinley County, New Mexico",72438,15931,24982,0.34,McKinley County,New Mexico
"Mora County, New Mexico",4536,19864,903,0.2,Mora County,New Mexico
"Otero County, New Mexico",66137,23170,13816,0.21,Otero County,New Mexico
"Quay County, New Mexico",8326,19784,1659,0.2,Quay County,New Mexico
"Rio Arriba County, New Mexico",39159,22911,9351,0.24,Rio Arriba County,New Mexico
"Roosevelt County, New Mexico",18888,20123,4425,0.23,Roosevelt County,New Mexico
"Sandoval County, New Mexico",142704,29255,18049,0.13,Sandoval County,New Mexico
"San Juan County, New Mexico",126515,23235,26075,0.21,San Juan County,New Mexico
"San Miguel County, New Mexico",27738,20762,7392,0.27,San Miguel County,New Mexico
"Santa Fe County, New Mexico",149293,38520,18797,0.13,Santa Fe County,New Mexico
"Sierra County, New Mexico",11031,25344,2849,0.26,Sierra County,New Mexico
"Socorro County, New Mexico",16858,18948,4824,0.29,Socorro County,New Mexico
"Taos County, New Mexico",32786,25646,5976,0.18,Taos County,New Mexico
"Torrance County, New Mexico",15519,20876,3590,0.23,Torrance County,New Mexico
"Union County, New Mexico",4133,22116,670,0.16,Union County,New Mexico
"Valencia County, New Mexico",76027,23675,12525,0.16,Valencia County,New Mexico
"Albany County, New York",306968,37635,34570,0.11,Albany County,New York
"Allegany County, New York",46688,24857,7047,0.15,Allegany County,New York
"Bronx County, New York",1435068,21778,392172,0.27,Bronx County,New York
"Broome County, New York",193188,28699,31945,0.17,Broome County,New York
"Cattaraugus County, New York",77121,25822,12324,0.16,Cattaraugus County,New York
"Cayuga County, New York",77425,30509,8812,0.11,Cayuga County,New York
"Chautauqua County, New York",128496,26165,22398,0.17,Chautauqua County,New York
"Chemung County, New York",84895,28778,11136,0.13,Chemung County,New York
"Chenango County, New York",47909,27708,6368,0.13,Chenango County,New York
"Clinton County, New York",80583,27761,10902,0.14,Clinton County,New York
"Columbia County, New York",60371,38268,6777,0.11,Columbia County,New York
"Cortland County, New York",47865,28229,7272,0.15,Cortland County,New York
"Delaware County, New York",44995,27701,7071,0.16,Delaware County,New York
"Dutchess County, New York",293754,40093,25065,0.09,Dutchess County,New York
"Erie County, New York",919355,33598,126806,0.14,Erie County,New York
"Essex County, New York",37459,31667,3435,0.09,Essex County,New York
"Franklin County, New York",50477,25406,7981,0.16,Franklin County,New York
"Fulton County, New York",53646,27443,7814,0.15,Fulton County,New York
"Genesee County, New York",57808,30511,6189,0.11,Genesee County,New York
"Greene County, New York",47424,28433,6167,0.13,Greene County,New York
"Hamilton County, New York",4515,24851,443,0.1,Hamilton County,New York
"Herkimer County, New York",62057,27850,8307,0.13,Herkimer County,New York
"Jefferson County, New York",112842,26194,14897,0.13,Jefferson County,New York
"Kings County, New York",2589974,34173,511631,0.2,Kings County,New York
"Lewis County, New York",26572,26708,3540,0.13,Lewis County,New York
"Livingston County, New York",63591,28701,7572,0.12,Livingston County,New York
"Madison County, New York",71205,30469,6459,0.09,Madison County,New York
"Monroe County, New York",743341,33840,103406,0.14,Monroe County,New York
"Montgomery County, New York",49302,26521,9544,0.19,Montgomery County,New York
"Nassau County, New York",1356509,51422,74291,0.05,Nassau County,New York
"New York County, New York",1631993,76592,250913,0.15,New York County,New York
"Niagara County, New York",210820,30971,27857,0.13,Niagara County,New York
"Oneida County, New York",229959,29687,33715,0.15,Oneida County,New York
"Onondaga County, New York",462872,34002,62610,0.14,Onondaga County,New York
"Ontario County, New York",109511,36835,9193,0.08,Ontario County,New York
"Orange County, New York",380085,34959,43142,0.11,Orange County,New York
"Orleans County, New York",40904,26298,5226,0.13,Orleans County,New York
"Oswego County, New York",118339,28587,19213,0.16,Oswego County,New York
"Otsego County, New York",59972,28849,8154,0.14,Otsego County,New York
"Putnam County, New York",98787,47448,4847,0.05,Putnam County,New York
"Queens County, New York",2287388,31930,276447,0.12,Queens County,New York
"Rensselaer County, New York",159185,35903,17963,0.11,Rensselaer County,New York
"Richmond County, New York",474893,36907,54621,0.12,Richmond County,New York
"Rockland County, New York",324422,39286,44404,0.14,Rockland County,New York
"St. Lawrence County, New York",108913,25378,17328,0.16,St. Lawrence County,New York
"Saratoga County, New York",228502,43065,13148,0.06,Saratoga County,New York
"Schenectady County, New York",154859,32417,17271,0.11,Schenectady County,New York
"Schoharie County, New York",31222,30397,3612,0.12,Schoharie County,New York
"Schuyler County, New York",17920,27678,2717,0.15,Schuyler County,New York
"Seneca County, New York",34390,28245,3825,0.11,Seneca County,New York
"Steuben County, New York",96422,29886,12971,0.13,Steuben County,New York
"Suffolk County, New York",1483832,44465,100133,0.07,Suffolk County,New York
"Sullivan County, New York",75116,30446,10999,0.15,Sullivan County,New York
"Tioga County, New York",48686,31822,4899,0.1,Tioga County,New York
"Tompkins County, New York",102642,33075,16838,0.16,Tompkins County,New York
"Ulster County, New York",178665,34834,23571,0.13,Ulster County,New York
"Warren County, New York",64276,35271,5997,0.09,Warren County,New York
"Washington County, New York",61616,28530,6578,0.11,Washington County,New York
"Wayne County, New York",90519,31043,10371,0.11,Wayne County,New York
"Westchester County, New York",968890,57049,83603,0.09,Westchester County,New York
"Wyoming County, New York",40305,27947,3933,0.1,Wyoming County,New York
"Yates County, New York",25011,28270,2837,0.11,Yates County,New York
"Alamance County, North Carolina",163324,27312,25621,0.16,Alamance County,North Carolina
"Alexander County, North Carolina",37213,26688,4870,0.13,Alexander County,North Carolina
"Alleghany County, North Carolina",11008,23267,2552,0.23,Alleghany County,North Carolina
"Anson County, North Carolina",24902,21635,4499,0.18,Anson County,North Carolina
"Ashe County, North Carolina",26863,24814,4317,0.16,Ashe County,North Carolina
"Avery County, North Carolina",17506,21167,2123,0.12,Avery County,North Carolina
"Beaufort County, North Carolina",47168,27504,8689,0.18,Beaufort County,North Carolina
"Bertie County, North Carolina",19380,22947,4181,0.22,Bertie County,North Carolina
"Bladen County, North Carolina",33407,23440,8008,0.24,Bladen County,North Carolina
"Brunswick County, North Carolina",131815,33312,15402,0.12,Brunswick County,North Carolina
"Buncombe County, North Carolina",256886,32426,30542,0.12,Buncombe County,North Carolina
"Burke County, North Carolina",89968,24481,15784,0.18,Burke County,North Carolina
"Cabarrus County, North Carolina",206615,32255,20920,0.1,Cabarrus County,North Carolina
"Caldwell County, North Carolina",81884,23869,12196,0.15,Caldwell County,North Carolina
"Camden County, North Carolina",10551,28221,969,0.09,Camden County,North Carolina
"Carteret County, North Carolina",69070,33722,7238,0.1,Carteret County,North Carolina
"Caswell County, North Carolina",22684,23901,3928,0.17,Caswell County,North Carolina
"Catawba County, North Carolina",157613,28224,20460,0.13,Catawba County,North Carolina
"Chatham County, North Carolina",71338,40967,7169,0.1,Chatham County,North Carolina
"Cherokee County, North Carolina",27969,23902,4593,0.16,Cherokee County,North Carolina
"Chowan County, North Carolina",14097,26256,2207,0.16,Chowan County,North Carolina
"Clay County, North Carolina",10946,28467,1513,0.14,Clay County,North Carolina
"Cleveland County, North Carolina",97282,22589,19391,0.2,Cleveland County,North Carolina
"Columbus County, North Carolina",56068,22608,12101,0.22,Columbus County,North Carolina
"Craven County, North Carolina",102491,29521,14773,0.14,Craven County,North Carolina
"Cumberland County, North Carolina",332861,24936,58132,0.17,Cumberland County,North Carolina
"Currituck County, North Carolina",26363,31849,2479,0.09,Currituck County,North Carolina
"Dare County, North Carolina",36222,34578,3230,0.09,Dare County,North Carolina
"Davidson County, North Carolina",165381,25988,25091,0.15,Davidson County,North Carolina
"Davie County, North Carolina",42257,31173,5835,0.14,Davie County,North Carolina
"Duplin County, North Carolina",58967,20254,12375,0.21,Duplin County,North Carolina
"Durham County, North Carolina",311848,35398,45221,0.15,Durham County,North Carolina
"Edgecombe County, North Carolina",52648,20626,12317,0.23,Edgecombe County,North Carolina
"Forsyth County, North Carolina",375195,30769,61366,0.16,Forsyth County,North Carolina
"Franklin County, North Carolina",66362,27294,8523,0.13,Franklin County,North Carolina
"Gaston County, North Carolina",219271,27352,31210,0.14,Gaston County,North Carolina
"Gates County, North Carolina",11548,25846,1548,0.13,Gates County,North Carolina
"Graham County, North Carolina",8509,20323,1428,0.17,Graham County,North Carolina
"Granville County, North Carolina",59328,27131,8031,0.14,Granville County,North Carolina
"Greene County, North Carolina",21033,19168,4255,0.2,Greene County,North Carolina
"Guilford County, North Carolina",527868,30767,80528,0.15,Guilford County,North Carolina
"Halifax County, North Carolina",51190,21848,12864,0.25,Halifax County,North Carolina
"Harnett County, North Carolina",132283,23767,20331,0.15,Harnett County,North Carolina
"Haywood County, North Carolina",61053,30490,8087,0.13,Haywood County,North Carolina
"Henderson County, North Carolina",114913,31564,12408,0.11,Henderson County,North Carolina
"Hertford County, North Carolina",24012,20119,4786,0.2,Hertford County,North Carolina
"Hoke County, North Carolina",53957,20991,10605,0.2,Hoke County,North Carolina
"Hyde County, North Carolina",5213,18245,1125,0.22,Hyde County,North Carolina
"Iredell County, North Carolina",175538,33194,18982,0.11,Iredell County,North Carolina
"Jackson County, North Carolina",42938,25347,7296,0.17,Jackson County,North Carolina
"Johnston County, North Carolina",196870,27924,24414,0.12,Johnston County,North Carolina
"Jones County, North Carolina",9594,21928,2333,0.24,Jones County,North Carolina
"Lee County, North Carolina",60481,24842,9565,0.16,Lee County,North Carolina
"Lenoir County, North Carolina",56756,23865,12836,0.23,Lenoir County,North Carolina
"Lincoln County, North Carolina",82919,31771,9916,0.12,Lincoln County,North Carolina
"McDowell County, North Carolina",45227,24281,7402,0.16,McDowell County,North Carolina
"Macon County, North Carolina",34813,28936,5323,0.15,Macon County,North Carolina
"Madison County, North Carolina",21499,25956,3342,0.16,Madison County,North Carolina
"Martin County, North Carolina",22849,23575,4463,0.2,Martin County,North Carolina
"Mecklenburg County, North Carolina",1074475,38819,122537,0.11,Mecklenburg County,North Carolina
"Mitchell County, North Carolina",15004,25009,1886,0.13,Mitchell County,North Carolina
"Montgomery County, North Carolina",27252,24636,4621,0.17,Montgomery County,North Carolina
"Moore County, North Carolina",97294,34606,10878,0.11,Moore County,North Carolina
"Nash County, North Carolina",94030,27406,13944,0.15,Nash County,North Carolina
"New Hanover County, North Carolina",227938,34288,35410,0.16,New Hanover County,North Carolina
"Northampton County, North Carolina",19946,22002,3941,0.2,Northampton County,North Carolina
"Onslow County, North Carolina",195069,24413,23065,0.12,Onslow County,North Carolina
"Orange County, North Carolina",144836,42231,18266,0.13,Orange County,North Carolina
"Pamlico County, North Carolina",12701,29092,1509,0.12,Pamlico County,North Carolina
"Pasquotank County, North Carolina",39514,24664,5800,0.15,Pasquotank County,North Carolina
"Pender County, North Carolina",60399,29266,8334,0.14,Pender County,North Carolina
"Perquimans County, North Carolina",13430,27569,2008,0.15,Perquimans County,North Carolina
"Person County, North Carolina",39345,27329,6237,0.16,Person County,North Carolina
"Pitt County, North Carolina",178433,27155,39314,0.22,Pitt County,North Carolina
"Polk County, North Carolina",20557,30756,1992,0.1,Polk County,North Carolina
"Randolph County, North Carolina",143118,24397,21457,0.15,Randolph County,North Carolina
"Richmond County, North Carolina",44997,21228,10935,0.24,Richmond County,North Carolina
"Robeson County, North Carolina",132596,18709,35706,0.27,Robeson County,North Carolina
"Rockingham County, North Carolina",91077,24209,16267,0.18,Rockingham County,North Carolina
"Rowan County, North Carolina",140296,25630,21660,0.15,Rowan County,North Carolina
"Rutherford County, North Carolina",66599,23978,11712,0.18,Rutherford County,North Carolina
"Sampson County, North Carolina",63385,22875,13059,0.21,Sampson County,North Carolina
"Scotland County, North Carolina",35076,19052,8897,0.25,Scotland County,North Carolina
"Stanly County, North Carolina",61588,25863,7659,0.12,Stanly County,North Carolina
"Stokes County, North Carolina",45781,26279,6229,0.14,Stokes County,North Carolina
"Surry County, North Carolina",71971,25500,11651,0.16,Surry County,North Carolina
"Swain County, North Carolina",14260,23139,2455,0.17,Swain County,North Carolina
"Transylvania County, North Carolina",33775,29549,4679,0.14,Transylvania County,North Carolina
"Tyrrell County, North Carolina",4095,19743,749,0.18,Tyrrell County,North Carolina
"Union County, North Carolina",231053,36362,18784,0.08,Union County,North Carolina
"Vance County, North Carolina",44479,23049,9138,0.21,Vance County,North Carolina
"Wake County, North Carolina",1069079,40982,95198,0.09,Wake County,North Carolina
"Warren County, North Carolina",19898,23432,3751,0.19,Warren County,North Carolina
"Washington County, North Carolina",11922,23431,2612,0.22,Washington County,North Carolina
"Watauga County, North Carolina",54925,26882,12415,0.23,Watauga County,North Carolina
"Wayne County, North Carolina",123603,25277,24383,0.2,Wayne County,North Carolina
"Wilkes County, North Carolina",68469,25202,11929,0.17,Wilkes County,North Carolina
"Wilson County, North Carolina",81435,24790,16217,0.2,Wilson County,North Carolina
"Yadkin County, North Carolina",37602,25218,5731,0.15,Yadkin County,North Carolina
"Yancey County, North Carolina",17760,24487,2883,0.16,Yancey County,North Carolina
"Adams County, North Dakota",2311,33458,195,0.08,Adams County,North Dakota
"Barnes County, North Dakota",10706,35491,1155,0.11,Barnes County,North Dakota
"Benson County, North Dakota",6873,21707,2174,0.32,Benson County,North Dakota
"Billings County, North Dakota",922,42071,86,0.09,Billings County,North Dakota
"Bottineau County, North Dakota",6502,35655,591,0.09,Bottineau County,North Dakota
"Bowman County, North Dakota",3148,34880,238,0.08,Bowman County,North Dakota
"Burke County, North Dakota",2182,39350,127,0.06,Burke County,North Dakota
"Burleigh County, North Dakota",94793,38804,7392,0.08,Burleigh County,North Dakota
"Cass County, North Dakota",176975,37620,18360,0.1,Cass County,North Dakota
"Cavalier County, North Dakota",3803,43457,406,0.11,Cavalier County,North Dakota
"Dickey County, North Dakota",4938,33539,247,0.05,Dickey County,North Dakota
"Divide County, North Dakota",2335,40184,201,0.09,Divide County,North Dakota
"Dunn County, North Dakota",4395,42691,347,0.08,Dunn County,North Dakota
"Eddy County, North Dakota",2301,35639,240,0.1,Eddy County,North Dakota
"Emmons County, North Dakota",3310,33088,322,0.1,Emmons County,North Dakota
"Foster County, North Dakota",3260,35299,229,0.07,Foster County,North Dakota
"Golden Valley County, North Dakota",1845,33111,134,0.07,Golden Valley County,North Dakota
"Grand Forks County, North Dakota",70224,32153,10662,0.15,Grand Forks County,North Dakota
"Grant County, North Dakota",2353,34786,297,0.13,Grant County,North Dakota
"Griggs County, North Dakota",2409,34882,182,0.08,Griggs County,North Dakota
"Hettinger County, North Dakota",2547,34181,228,0.09,Hettinger County,North Dakota
"Kidder County, North Dakota",2466,31000,262,0.11,Kidder County,North Dakota
"LaMoure County, North Dakota",4125,37220,592,0.14,LaMoure County,North Dakota
"Logan County, North Dakota",1872,32619,130,0.07,Logan County,North Dakota
"McHenry County, North Dakota",5878,36980,483,0.08,McHenry County,North Dakota
"McIntosh County, North Dakota",2597,32131,245,0.09,McIntosh County,North Dakota
"McKenzie County, North Dakota",13334,36690,1490,0.11,McKenzie County,North Dakota
"McLean County, North Dakota",9584,36428,751,0.08,McLean County,North Dakota
"Mercer County, North Dakota",8462,39025,591,0.07,Mercer County,North Dakota
"Morton County, North Dakota",30868,39384,2240,0.07,Morton County,North Dakota
"Mountrail County, North Dakota",10321,36364,1072,0.1,Mountrail County,North Dakota
"Nelson County, North Dakota",2894,34491,325,0.11,Nelson County,North Dakota
"Oliver County, North Dakota",1842,35565,147,0.08,Oliver County,North Dakota
"Pembina County, North Dakota",6947,36251,498,0.07,Pembina County,North Dakota
"Pierce County, North Dakota",4126,30756,663,0.16,Pierce County,North Dakota
"Ramsey County, North Dakota",11583,34041,1389,0.12,Ramsey County,North Dakota
"Ransom County, North Dakota",5314,34665,331,0.06,Ransom County,North Dakota
"Renville County, North Dakota",2442,34452,87,0.04,Renville County,North Dakota
"Richland County, North Dakota",16254,31346,1649,0.1,Richland County,North Dakota
"Rolette County, North Dakota",14511,20484,3863,0.27,Rolette County,North Dakota
"Sargent County, North Dakota",3872,37105,159,0.04,Sargent County,North Dakota
"Sheridan County, North Dakota",1409,32627,172,0.12,Sheridan County,North Dakota
"Sioux County, North Dakota",4373,15649,1641,0.38,Sioux County,North Dakota
"Slope County, North Dakota",742,33798,56,0.08,Slope County,North Dakota
"Stark County, North Dakota",31081,38103,2660,0.09,Stark County,North Dakota
"Steele County, North Dakota",1744,39011,100,0.06,Steele County,North Dakota
"Stutsman County, North Dakota",20965,31991,2352,0.11,Stutsman County,North Dakota
"Towner County, North Dakota",2224,37239,227,0.1,Towner County,North Dakota
"Traill County, North Dakota",8008,33321,489,0.06,Traill County,North Dakota
"Walsh County, North Dakota",10751,34194,958,0.09,Walsh County,North Dakota
"Ward County, North Dakota",68812,34923,6319,0.09,Ward County,North Dakota
"Wells County, North Dakota",3976,35134,336,0.08,Wells County,North Dakota
"Williams County, North Dakota",35208,44235,2108,0.06,Williams County,North Dakota
